en	Category:Infobox templates
mwl	Catadorie:!Modelos de caixas d'anformaçon
xmf	კატეგორია:ინფოდაფეფი
bar	Kategorie:Vorlage:Infobox
sco	Category:Infobox templates
af	Kategorie:Inligtingskassjablone
ar	تصنيف:قوالب معلومات
az	Kateqoriya:Şablon-kartoçkalar
ba	Категория:Ҡалыптар:Карточкалар
ceb	Kategoriya:Infobox templates
be	Катэгорыя:Шаблоны:Карткі
bg	Категория:Карета с показатели
bn	বিষয়শ্রেণী:তথ্যছক টেমপ্লেট
br	Rummad:Patromoù infobox
bs	Kategorija:Infokutije
zh-yue	Category:明細模
map-bms	Kategori:Cithakan kotak info
ca	Categoria:Infotaules
cs	Kategorie:Šablony:Infoboxy
cy	Categori:Gwybodlenni
da	Kategori:Infoboksskabeloner
de	Kategorie:Vorlage:Infobox
dv	ޤިސްމު:Infobox templates
el	Κατηγορία:Πρότυπα κουτιά πληροφοριών
eo	Kategorio:Ŝablono:Informkesto
es	Categoría:Wikipedia:Fichas
et	Kategooria:Infokastid
eu	Kategoria:Infotaula txantiloiak
hsb	Kategorija:Předłoha:Infokašćik
fa	رده:الگو:جعبه‌های اطلاعات
fi	Luokka:Tietolaatikkomallineet
fo	Bólkur:Infoboks
fr	Catégorie:Modèle infobox
pcd	Catégorie:Infoboète
fy	Kategory:Ynfoboks
gd	Roinn-seòrsa:Teamplaid:Bogsa-fiosrachaidh
gl	Categoría:Caixas de información
gu	શ્રેણી:માહિતીચોકઠાં
pdc	Abdeeling:Vorlage Infobox
gv	Ronney:Kishtaghyn fys
ckb	پۆل:داڕێژەکانی زانیاریدان
he	קטגוריה:תבניות פרמטריות
hi	श्रेणी:ज्ञानसन्दूक
hr	Kategorija:Infookviri
hu	Kategória:Infoboxsablonok
hy	Կատեգորիա:Վիքիպեդիա:Տեղեկաքարտեր
nah	Neneuhcāyōtl:Wikipedia:Fichas
ia	Categoria:Patronos infobox
id	Kategori:Templat kotak info
nap	Categurìa:Template Infobox
frr	Kategorie:Vorlage:Infobox
is	Flokkur:Upplýsingasnið
it	Categoria:Template sinottici
ja	Category:基礎情報テンプレート
pfl	Sachgrubb:Vorlache:Infobox
jv	Kategori:Cithakan kothak info
ka	კატეგორია:ინფოდაფები
kk	Санат:Үлгілер-инфобокстар
km	ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូ ប្រអប់ព័ត៌មាន
kn	ವರ್ಗ:Infobox
ko	분류:정보 틀
nds-nl	Kategorie:Mal:Infobox
ku	Kategorî:Infobox
la	Categoria:Formulae capsarum
lb	Kategorie:Schablounen:Infoboxen
lg	Category:Infobox templates
nds	Kategorie:Wikipedia:Infobox
lt	Kategorija:Infolentelės
lv	Kategorija:Infokastes
roa-tara	Category:Template sinottici
mg	Sokajy:Infobox
mk	Категорија:Инфокутии
ml	വർഗ്ഗം:Infobox templates
mn	Ангилал:Инфобокс загварууд
ms	Kategori:Templat kotak info
mt	Kategorija:Mudelli infobox
als	Kategorie:Vorlage:Infobox
my	Category:Infobox templates
dsb	Kategorija:Pśedłoga:Infokašćik
nl	Categorie:Wikipedia:Sjablonen infobox
nn	Kategori:Infoboksar
no	Kategori:Infobokser
oc	Categoria:Modèl infobox
om	Category:Infobox templates
kbd	Категориэ:Уикипедиэ:Карт шаблонхэр
pl	Kategoria:Infoboksy
pt	Categoria:!Predefinições de caixas de informação
stq	Kategorie:Foarloage:Infobox
mhr	Категорий:Кышкар-влак:Аҥа-влак
rm	Categoria:Models:Infobox
ro	Categorie:Infocasete
ru	Категория:Шаблоны:Карточки
sd	زمرو:سانچا ڄاڻخانو
arc	ܣܕܪܐ:ܩܠܒܐ ܨܢܕܘܩܐ
sh	Kategorija:Infokutije
sk	Kategória:Infobox šablóny
sl	Kategorija:Infopolja
sq	Kategoria:Stampa infobox
sr	Категорија:Шаблони за кутијице
sv	Kategori:Faktamallar
sw	Jamii:Infobox templates
arz	تصنيف:قوالب معلومات
ta	பகுப்பு:தகவல் பெட்டிகள்
th	หมวดหมู่:กล่องข้อมูล
tl	Kategorya:Infobox templates
tr	Kategori:Bilgi kutusu şablonları
tt	Төркем:Википедия:Калыплар-карточкалар
ast	Categoría:Wikipedia:Plantíes Infobox
lij	Categorîa:Template sinottici
uk	Категорія:Шаблони:Картки
ur	زمرہ:سانچہ جات خانہ معلومات
vi	Thể loại:Bản mẫu hộp thông tin
nov	Category:Info boxes
wo	Wàll:Infobox
szl	Kategoryjo:Infoszachtle
yi	קאַטעגאָריע:אינפאבאקס מוסטערן
zh	Category:信息框模板
simple	Category:Infobox templates
vec	Categoria:Modełi sinotici
ilo	Kategoria:Infobox
bat-smg	Kateguorėjė:Infuolentalės
be-x-old	Катэгорыя:Вікіпэдыя:Шаблёны:Інфармацыя
sah	Категория:Халыыптар-карточкалар
